order_id,customer_id,order_date,status
1,2718,2025-05-17 16:39:24,paid
2,1465,2025-11-25 19:12:12,delivered
3,2547,2024-07-27 09:38:58,delivered
4,381,2024-10-16 10:10:49,delivered
5,750,2024-03-29 09:58:56,shipped
6,1870,2024-07-30 03:20:09,delivered
7,2826,2025-10-22 17:40:03,delivered
8,1728,2025-05-18 23:22:30,canceled
9,684,2024-03-28 19:31:37,paid
10,2976,2024-02-15 13:14:52,canceled
11,653,2024-03-21 13:21:08,shipped
12,2420,2025-01-09 21:42:40,delivered
13,2779,2024-12-06 07:56:48,paid
14,1556,2025-08-28 04:40:30,shipped
15,119,2025-10-31 23:34:40,delivered
16,2979,2025-11-23 15:39:48,paid
17,2000,2024-03-28 17:18:25,canceled
18,1806,2024-02-05 16:59:10,pending
19,2683,2024-09-01 01:49:11,pending
20,2777,2025-02-11 15:18:53,delivered
21,2362,2025-07-16 04:07:00,delivered
22,2744,2025-11-09 04:34:32,shipped
23,2143,2025-06-18 13:45:14,delivered
24,391,2024-12-02 04:52:11,delivered
25,1019,2025-01-09 07:49:13,shipped
26,2771,2025-05-13 04:38:44,shipped
27,2287,2025-11-23 21:14:19,canceled
28,224,2024-01-10 01:04:33,delivered
29,643,2025-01-27 16:27:45,delivered
30,2031,2025-11-06 07:04:55,paid
31,2014,2024-09-06 01:02:51,paid
32,1140,2024-02-09 02:36:19,delivered
33,2255,2025-05-14 16:18:14,shipped
34,963,2024-03-02 05:30:31,delivered
35,2348,2024-12-14 01:09:47,paid
36,2042,2024-12-13 05:57:13,shipped
37,2038,2025-08-01 20:15:40,delivered
38,421,2024-11-09 08:39:37,shipped
39,2283,2025-03-02 11:56:36,pending
40,373,2025-09-06 23:54:36,delivered
41,2536,2025-05-10 04:34:19,shipped
42,2083,2025-03-12 18:38:20,paid
43,2751,2024-12-20 08:19:55,canceled
44,1489,2025-10-03 00:54:43,pending
45,914,2025-10-17 19:13:04,delivered
46,2295,2025-08-19 01:40:42,delivered
47,1938,2025-07-10 15:28:28,delivered
48,2933,2024-12-17 11:48:59,paid
49,2699,2024-06-21 05:39:56,pending
50,1455,2025-10-06 14:09:24,delivered
51,1196,2025-03-01 09:41:32,delivered
52,2876,2024-03-23 13:59:24,pending
53,673,2025-01-17 11:24:50,paid
54,2937,2025-07-30 17:24:22,delivered
55,439,2024-07-16 12:17:46,delivered
56,769,2024-04-03 18:51:53,canceled
57,1610,2024-06-16 10:52:46,delivered
58,781,2025-07-10 17:53:42,shipped
59,1698,2024-02-06 02:49:46,canceled
60,2754,2025-04-02 08:14:04,paid
61,1846,2024-12-21 06:19:40,delivered
62,2066,2024-04-14 13:47:49,canceled
63,18,2025-02-15 22:42:28,delivered
64,2267,2025-12-27 11:24:36,delivered
65,2397,2025-01-10 02:30:15,canceled
66,726,2025-06-21 08:25:00,delivered
67,2993,2025-09-25 05:15:09,paid
68,1587,2025-05-25 17:05:41,delivered
69,1319,2025-01-26 13:17:37,canceled
70,1715,2025-04-18 00:27:54,canceled
71,1017,2024-07-31 12:11:48,shipped
72,1405,2024-08-16 11:47:32,delivered
73,547,2024-04-17 07:51:43,shipped
74,2868,2025-11-19 12:22:50,delivered
75,1225,2025-10-16 20:02:47,delivered
76,1286,2025-07-06 22:17:59,delivered
77,2268,2025-05-06 08:12:25,paid
78,859,2025-04-29 19:19:37,delivered
79,2813,2024-09-25 04:44:19,canceled
80,544,2025-07-05 18:44:58,delivered
81,729,2025-01-26 09:15:16,delivered
82,2609,2024-09-07 09:37:29,delivered
83,1443,2025-03-12 17:39:46,delivered
84,2338,2025-06-02 04:42:44,delivered
85,2762,2025-08-03 21:17:00,canceled
86,2187,2024-08-10 02:05:01,delivered
87,1731,2025-09-19 19:53:35,pending
88,437,2024-01-20 15:06:24,shipped
89,218,2025-06-04 14:26:36,pending
90,1094,2025-08-05 16:27:44,delivered
91,1174,2025-06-14 19:19:08,shipped
92,255,2025-06-20 09:37:15,delivered
93,836,2025-08-08 08:00:33,delivered
94,1470,2025-09-24 06:32:54,delivered
95,2524,2025-11-05 05:21:07,delivered
96,2302,2025-11-02 17:48:49,paid
97,2651,2025-03-11 22:50:29,shipped
98,2093,2025-09-01 04:32:43,delivered
99,2852,2024-08-11 09:58:23,delivered
100,193,2025-12-20 14:55:43,shipped
101,1707,2025-09-04 03:27:49,canceled
102,1281,2025-03-04 20:20:54,pending
103,1030,2024-06-06 17:49:12,delivered
104,1815,2025-10-06 16:00:48,paid
105,2596,2025-07-01 07:14:16,delivered
106,1507,2025-08-09 12:13:40,delivered
107,2472,2024-06-01 14:26:56,delivered
108,793,2024-08-16 11:52:12,delivered
109,2797,2024-02-27 20:12:09,paid
110,712,2025-07-24 22:52:29,delivered
111,1546,2024-02-01 13:28:37,shipped
112,2280,2024-07-24 05:46:59,paid
113,2393,2025-10-19 02:50:51,shipped
114,1354,2024-12-28 05:02:46,delivered
115,635,2024-02-01 00:32:47,paid
116,1322,2025-04-08 14:39:21,pending
117,2562,2025-04-23 03:46:38,delivered
118,1234,2025-01-16 00:31:56,delivered
119,2254,2024-10-05 03:11:57,paid
120,2899,2024-09-03 21:19:16,delivered
